Test_ID,Dataset_Name,Prompt_Type,Description_Source,Description_Text,Related_Profile_JSON,Completeness_Score,Conciseness_Score,Readability_Score,Raw_Scores_JSON,Evaluation_Date,Reference_Description,dataset_id,bert_precision,bert_recall,bert_f1,rouge1,rouge2,rougeL,rougeLsum,coverage_overall,coverage_basic_info,coverage_data_characteristics,coverage_provenance,coverage_usage_context,coverage_quality_and_limitations
Vanilla_AutoDDG-154208,The FluPRINT database,,Vanilla_AutoDDG,"This dataset contains immune cell analysis data from various studies, including information about donors, visits, vaccinations, and cytokine profiling. The data spans multiple years and includes details on vaccine responses, influenza infection history, and hospitalization. It also features semantic columns such as donor ID, study ID, gender, race, visit ID, visit year, visit day, visit type HAI, visit age, CMV status, EBV status, BMI, vaccine, geo mean, d geo mean, vaccine response, measurement ID, assay, name, name formatted, subset, units, data, statin use, flu vaccination history, total vaccines received, and more. The dataset can be used for analyzing immune cell responses to different vaccinations and understanding the effects of various factors on these responses.",,8,6,7,"{""completeness"": 8, ""conciseness"": 6, ""readability"": 7}",2025-12-04 15:42:08,"The FluPRINT represents fully integrated and normalized immunology measurements from eight clinical studies taken from 740 individuals undergoing influenza vaccination with inactivated or live attenuated seasonal influenza vaccines from 2007 to 2015 at the Stanford Human Immune Monitoring Center. The FluPRINT dataset contains information on more than 3,000 parameters measured using mass cytometry, flow cytometry, phosphorylation-specific cytometry, multiplex cytokine assays, clinical lab tests (hormones and complete blood count), serological profiling and virological tests. In the dataset, vaccine protection is measured using a hemagglutination inhibition (HAI) assay, and following FDA guidelines individuals are marked as high or low responders depending on the HAI antibody titers after vaccination.",The FluPRINT database,0.8339577913284302,0.8195052146911621,0.8266683220863342,0.27927927927927926,0.018181818181818177,0.11711711711711711,0.11711711711711711,0.29000000000000004,0.3333333333333333,0.4,0.2,0.5,0.0
Augmented_AutoDDG-154404,The FluPRINT database,research_long_v1-llama70q3,Augmented_AutoDDG,"This dataset contains comprehensive cellular and transcriptomic profiling of peripheral blood mononuclear cells from patients with immune checkpoint inhibitor (ICI) myocarditis. The data includes high-resolution immune phenotyping using CyTOF, scRNA-seq, and single-cell TCR-seq, enabling fine-grained classification of immune cell subsets. Key variables include demographic information, clinical characteristics, and cytometric measurements. Researchers utilized this dataset to identify novel cytotoxic and activated Temra CD8+ cells as a potential disease biomarker for ICI myocarditis. The study highlights the importance of rich annotations in enabling accurate classification and notes limitations due to small sample size and class imbalance.","{""summary"": ""{\n  \""enabled_research\"": \""Comprehensive cellular and transcriptomic profiling of peripheral blood mononuclear cells in patients with ICI myocarditis\"",\n  \""practical_use\"": \""Identification of novel cytotoxic and activated Temra CD8+ cells as a potential disease biomarker for ICI myocarditis\"",\n  \""why_useful\"": \""Provides high-resolution immune phenotyping of myocarditis in the setting of irAEs from ICIs using CyTOF, scRNA-seq, and single-cell TCR-seq\"",\n  \""requirements_or_setup\"": \""Requires institutional data use agreement; preprocessed with custom pipeline\"",\n  \""strengths_shown\"": \""Rich annotations enabled fine-grained classification; diverse sample prevented overfitting\"",\n  \""limitations_found\"": \""Small sample size limited statistical power; class imbalance required resampling\"",\n  \""usage_quotes\"": [\n    \""enabled comparison across multiple domains\"",\n    \""crucial for validating our hypothesis\""\n  ]\n}"", ""dataset_name"": ""The FluPRINT database"", ""source_length"": 12211, ""full_source_length"": 76710, ""num_context_blocks"": 1}",0,0,0,{},2025-12-04 15:44:04,"The FluPRINT represents fully integrated and normalized immunology measurements from eight clinical studies taken from 740 individuals undergoing influenza vaccination with inactivated or live attenuated seasonal influenza vaccines from 2007 to 2015 at the Stanford Human Immune Monitoring Center. The FluPRINT dataset contains information on more than 3,000 parameters measured using mass cytometry, flow cytometry, phosphorylation-specific cytometry, multiplex cytokine assays, clinical lab tests (hormones and complete blood count), serological profiling and virological tests. In the dataset, vaccine protection is measured using a hemagglutination inhibition (HAI) assay, and following FDA guidelines individuals are marked as high or low responders depending on the HAI antibody titers after vaccination.",The FluPRINT database,0.8344639539718628,0.828092098236084,0.8312658071517944,0.24154589371980678,0.00975609756097561,0.11594202898550725,0.11594202898550725,0.39999999999999997,0.3333333333333333,0.6,0.0,0.75,0.25
Vanilla_AutoDDG-154456,CODE-15%: a large scale annotated dataset of 12-lead ECGs,,Vanilla_AutoDDG,"This dataset contains electrocardiogram (ECG) data collected from various patients, providing insights into their heart health. The dataset includes demographic information such as age and gender, as well as medical details like predicted age and ECG readings. It also features temporal data, including time of death and time of ECG recording. The semantic profile reveals that the columns represent measurements, classifications, and identification keys, offering a comprehensive understanding of the data's structure and usage context. This dataset can be used for research purposes, such as analyzing heart health trends, identifying risk factors, and developing predictive models for cardiovascular diseases.",,8,8,9,"{""completeness"": 8, ""conciseness"": 8, ""readability"": 9}",2025-12-04 15:44:56,"A dataset of 12-lead ECGs with annotations. The dataset contains 345,779 exams from 233,770 patients. It was obtained through stratified sampling from the CODE dataset (15% of the patients). The data was collected by the Telehealth Network of Minas Gerais between 2010 and 2016.This repository contains the file `exams.csv` and the files `exams_part{i}.zip` for i = 0, 1, 2, ... 17.`exams.csv` contains the following columns:- ""exam_id"": ID used for identifying the exam- ""age"": patient age in years at the moment of the exam- ""is_male"": true if the patient is male- ""nn_predicted_age"": age predicted by a neural network (as described in the paper ""Deep neural network estimated electrocardiographic-age as a mortality predictor"")- ""1dAVb"": presence of 1st-degree AV block- ""RBBB"": presence of right bundle branch block- ""LBBB"": presence of left bundle branch block'' - ""SB"": presence of sinus bradycardia'' - ""AF"": presence of atrial fibrillation'' - ""ST"": presence of sinus tachycardia'' - ""patient_id"": ID used for identifying the patient'' - ""normal_ecg"": true if the automatic annotation system labels it as normal'' - ""death"": true if the patient dies in the follow-up period (only filled in the first exam per patient)'' - ""timey"": if the patient dies, this is time to death; otherwise, follow-up time (only in first exam per patient)'' - ""trace_file"": identifies the HDF5 file containing the corresponding ECG trace",CODE-15%: a large scale annotated dataset of 12-lead ECGs,0.8477029800415039,0.7796486616134644,0.8122528195381165,0.23636363636363636,0.036585365853658534,0.1090909090909091,0.1090909090909091,0.24,0.3333333333333333,0.4,0.2,0.25,0.0
Augmented_AutoDDG-154818,CODE-15%: a large scale annotated dataset of 12-lead ECGs,research_long_v1-llama70q3,Augmented_AutoDDG,"This dataset contains electrocardiogram (ECG) data from over 2.3 million 12-lead ECG recordings. The key variables include exam_id, age, is_male, nn_predicted_age, and patient_id, among others. The dataset was used in a study to develop a unified model pipeline for three different cardio-related tasks: cardiac arrhythmia diagnosis, atrial fibrillation risk prediction, and age estimation. The study found that deep learning models reached similar or higher performance than feature engineering approaches for all tasks. However, the authors noted that age estimation is not a classical clinical task for 12-lead ECGs, which may have limited the effectiveness of feature engineering in this area.  The dataset provides valuable insights into cardiovascular health and can be used for various research purposes, such as developing predictive models for cardiac arrhythmias or atrial fibrillation risk. The data also includes temporal information, allowing researchers to analyze changes over time. Additionally, the dataset's large size and diverse range of variables make it an ideal resource for exploring complex relationships between different factors.  The semantic profile of the dataset reveals that certain columns, such as age and patient_id, have specific meanings and usage contexts. For example, age represents a person's age, while patient_id serves as a unique identifier for non-human entities in the healthcare domain. Understanding these nuances is essential for accurate analysis and interpretation of the data.  Overall, this dataset offers a wealth of information for researchers and clinicians seeking to improve our understanding of cardiovascular health and develop more effective diagnostic and predictive tools.","{""summary"": ""{\n  \""paper_title\"": \""On Merging Feature Engineering and Deep Learning for Diagnosis, Risk Prediction\"",\n  \""authors\"": [\""Zvuloni et al.\""],\n  \""abstract\"": \""We developed a unified model pipeline and trained it for three different and independent cardio-related tasks, utilizing both feature engineering and deep learning approaches as well as combining both. Experiments were conducted using a large dataset of over 2.3M 12-lead ECG recordings. For all tasks, cardiac arrhythmia diagnosis, atrial fibrillation risk prediction, and age estimation, the DL model reached similar or higher performance than the FE approach.\"",\n  \""results\"": {\n    \""arrhythmia_diagnosis\"": {\n      \""FE_performance\"": \""comparable\"",\n      \""DL_performance\"": \""similar\""\n    },\n    \""atrial_fibrillation_risk_prediction\"": {\n      \""FE_performance\"": \""comparable\"",\n      \""DL_performance\"": \""higher\""\n    },\n    \""age_estimation\"": {\n      \""FE_performance\"": \""lower\"",\n      \""DL_performance\"": \""higher\""\n    }\n  },\n  \""conclusion\"": \""We explain this finding by the fact that age estimation is not a classical clinical task that the 12-lead ECG was historically used for. Consequently, FE encompassing domain knowledge for this specific task was low.\"",\n  \""acknowledgment\"": {\n    \""thanks_to\"": [\""S. Biton\"", \""S. Gendelman\""],\n    \""fellowship\"": \""The Miriam and Aaron Gutwirth Memorial Fellowship\""\n  }\n}"", ""dataset_name"": ""CODE-15%: a large scale annotated dataset of 12-lead ECGs"", ""source_length"": 53716, ""full_source_length"": 49051, ""num_context_blocks"": 1}",9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-04 15:48:18,"A dataset of 12-lead ECGs with annotations. The dataset contains 345,779 exams from 233,770 patients. It was obtained through stratified sampling from the CODE dataset (15% of the patients). The data was collected by the Telehealth Network of Minas Gerais between 2010 and 2016.This repository contains the file `exams.csv` and the files `exams_part{i}.zip` for i = 0, 1, 2, ... 17.`exams.csv` contains the following columns:- ""exam_id"": ID used for identifying the exam- ""age"": patient age in years at the moment of the exam- ""is_male"": true if the patient is male- ""nn_predicted_age"": age predicted by a neural network (as described in the paper ""Deep neural network estimated electrocardiographic-age as a mortality predictor"")- ""1dAVb"": presence of 1st-degree AV block- ""RBBB"": presence of right bundle branch block- ""LBBB"": presence of left bundle branch block'' - ""SB"": presence of sinus bradycardia'' - ""AF"": presence of atrial fibrillation'' - ""ST"": presence of sinus tachycardia'' - ""patient_id"": ID used for identifying the patient'' - ""normal_ecg"": true if the automatic annotation system labels it as normal'' - ""death"": true if the patient dies in the follow-up period (only filled in the first exam per patient)'' - ""timey"": if the patient dies, this is time to death; otherwise, follow-up time (only in first exam per patient)'' - ""trace_file"": identifies the HDF5 file containing the corresponding ECG trace",CODE-15%: a large scale annotated dataset of 12-lead ECGs,0.8291211128234863,0.7952698469161987,0.8118427395820618,0.3224489795918367,0.06967213114754099,0.14285714285714288,0.14285714285714288,0.35000000000000003,0.6666666666666666,0.4,0.0,0.5,0.25
Vanilla_AutoDDG-154902,T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,,Vanilla_AutoDDG,"This dataset contains temporal data with a resolution of one hour, covering various measurements related to Type 1 Diabetes. The ""date"" column holds time information, while the ""sgv"" column represents measurement values and the ""utcOffset"" column provides additional temporal context. With over 41,000 unique date entries and 309 distinct sgv values, this dataset offers a comprehensive look at Type 1 Diabetes measurements across different times. It can be used for analyzing patterns, trends, and correlations in Type 1 Diabetes data, making it valuable for researchers and healthcare professionals seeking to better understand the condition.",,8,9,9,"{""completeness"": 8, ""conciseness"": 9, ""readability"": 9}",2025-12-04 15:49:02,"The data are recorded in a single file entitled glucose_data.csv. This file establishes a Comma Separated Values (CSV) format. The following characteristics can be found in each row of the dataset: date: establishes the moment at which the glucose level was measured. The field is formatted as follows: ""YYYYY-MM-DD HH:MM:SS.ssss"" (UTC time zone). sgv: glucose levels measured in mg/dL. utcOffset: offset in minutes from the time zone where data were collected (Madrid GMT+1 and GMT+2). The dataset contains a total of 41702 samples with an average of 185 samples per day. A summary of the samples per day can be found in the attached image.",T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,0.8442402482032776,0.816704273223877,0.8302440047264099,0.26666666666666666,0.01923076923076923,0.15238095238095237,0.15238095238095237,0.25,0.6666666666666666,0.4,0.0,0.25,0.0
Augmented_AutoDDG-155211,T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,research_long_v1-llama70q3,Augmented_AutoDDG,"This dataset contains glucose data from a patient with type 1 diabetes mellitus, collected over a period of time. The key variables include date, sgv (measurement value), and utcOffset (temporal data). The dataset has been used in research to develop predictive models for glucose levels, utilizing machine learning algorithms such as GPT-4o and GPT-4. The study highlights the importance of accurate glucose monitoring in managing type 1 diabetes. However, limitations include the dataset's limited size and potential biases in data collection. Despite this, the dataset provides valuable insights into glucose patterns and can aid in developing personalized treatment plans.","{""summary"": ""Here is the JSON data extracted from the text:\n\n```\n{\n  \""references\"": [\n    {\n      \""id\"": \""[1]\"",\n      \""text\"": \""\""\n    },\n    {\n      \""id\"": \""[2]\"",\n      \""text\"": \""\""\n    },\n    ...\n  ],\n  \""authors\"": [\n    {\n      \""name\"": \""Juan Francisco Gait\u00e1n-Guerrero\"",\n      \""birthplace\"": \""Bail\u00e9n, Ja\u00e9n, Spain\"",\n      \""birthdate\"": \""2000\"",\n      \""degrees\"": [\""B.Sc. in computer science\""],\n      \""affiliation\"": \""University of Ja\u00e9n\""\n    },\n    {\n      \""name\"": \""Jos\u00e9 Luis L\u00f3pez Ruiz\"",\n      \""birthplace\"": \""Linares, Ja\u00e9n, Spain\"",\n      \""birthdate\"": \""1993\"",\n      \""degrees\"": [\""M.Sc.\"", \""Ph.D. in computer science\""],\n      \""affiliation\"": \""University of Ja\u00e9n\""\n    },\n    {\n      \""name\"": \""Macarena Espinilla\"",\n      \""birthplace\"": \""Ja\u00e9n, Spain\"",\n      \""birthdate\"": \""1983\"",\n      \""degrees\"": [\""M.Sc.\"", \""Ph.D. in computer science\""],\n      \""affiliation\"": \""University of Ja\u00e9n\""\n    },\n    {\n      \""name\"": \""Carmen Mart\u00ednez-Cruz\"",\n      \""birthplace\"": \""\"",\n      \""birthdate\"": \""\"",\n      \""degrees\"": [\""Ph.D. in computer science and arti\ufb01cial intelligence\""],\n      \""affiliation\"": \""University of Ja\u00e9n\""\n    }\n  ],\n  \""dataset\"": {\n    \""name\"": \""T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus\"",\n    \""url\"": \""https://zenodo.org/records/10713570\""\n  },\n  \""models\"": [\n    {\n      \""name\"": \""GPT-4o\"",\n      \""url\"": \""https://openai.com/index/hello-gpt-4o/\""\n    },\n    {\n      \""name\"": \""GPT-4\"",\n      \""url\"": \""https://openai.com/index/gpt-4/\""\n    }\n  ]\n}\n```\n\nNote that some information, such as the authors' birthdates and places of birth, is not included in the JSON data if it was not present in the original text."", ""dataset_name"": ""T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus"", ""source_length"": 77095, ""full_source_length"": 70163, ""num_context_blocks"": 1}",6,8,8,"{""completeness"": 6, ""conciseness"": 8, ""readability"": 8}",2025-12-04 15:52:11,"The data are recorded in a single file entitled glucose_data.csv. This file establishes a Comma Separated Values (CSV) format. The following characteristics can be found in each row of the dataset: date: establishes the moment at which the glucose level was measured. The field is formatted as follows: ""YYYYY-MM-DD HH:MM:SS.ssss"" (UTC time zone). sgv: glucose levels measured in mg/dL. utcOffset: offset in minutes from the time zone where data were collected (Madrid GMT+1 and GMT+2). The dataset contains a total of 41702 samples with an average of 185 samples per day. A summary of the samples per day can be found in the attached image.",T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,0.8429632782936096,0.8198469877243042,0.8312444090843201,0.35023041474654376,0.046511627906976744,0.17511520737327188,0.17511520737327188,0.25,0.0,0.2,0.0,0.5,0.5
Vanilla_AutoDDG-155308,A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae),,Vanilla_AutoDDG,"This dataset contains information about Carex species distribution, including their scientific names, original names, infraspecific information, authority, revised names, revised infraspecific information, and revised authority. The data also includes spatial information such as latitude and longitude, as well as temporal information like day, month, and year. Additionally, the dataset provides details about the collectors, institutions, and collection codes. The semantic profile of the columns reveals that they represent various entities such as scientific names, plants, locations, organizations, and people, which can be used for classification, measurement, and aggregation purposes. This dataset can be utilized to study the distribution patterns of Carex species across different regions and time periods.",,8,8,9,"{""completeness"": 8, ""conciseness"": 8, ""readability"": 9}",2025-12-04 15:53:08,"This dataset collection comprises three .csv files with records for the genus Carex L. It includes a manually georeferenced dataset based on herbarium specimens and systematic literature (manually_georeferenced_dataset.csv), a raw dataset from GBIF and Tropicos after initial quality control (gbif_t_raw_dataset.csv), and an expert-curated version that corrects taxonomic misidentifications, removes duplicates, and improves georeferencing accuracy (ecd_dataset_v1.0.0.csv). The data may be used for bioclimatic and (macro-)evolutionary analyses that require highly accurate geographic information. We suggest utilizing the flagged occurrences to assess the reliability or native status of any new records added to GBIF after downloading our dataset (see the curation_change column).",A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae),0.8382282257080078,0.8068400621414185,0.8222347497940063,0.24324324324324326,0.036363636363636355,0.16216216216216214,0.16216216216216214,0.33,0.3333333333333333,0.4,0.4,0.5,0.0
Augmented_AutoDDG-155807,A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae),research_long_v1-llama70q3,Augmented_AutoDDG,"This dataset contains information about Carex species distribution, including their scientific names, original names, infraspecific information, authority, revised names, revised infraspecific information, and revised authority. The data also includes spatial information such as latitude and longitude, temporal information like day, month, and year, and other details like TDWG3 region, TDWG1 name, institution code, collection code, GBIF occurrence ID, main collector, other collectors, collector code, curation change, contributor, and incidences. The dataset can be used to study the distribution of Carex species across different regions and time periods.  The semantic profile of the dataset columns provides insights into the meaning and usage of each column. For example, the record_ID column represents an identifier and is used as an aggregation key, while the scientific_name column represents a scientific entity and is used for classification purposes. The latitude_WGS84 and longitude_WGS84 columns contain spatial data and are used to measure locations.  Research literature provides additional context about the dataset, including its use in comparative biogeography studies of Carex species. A study published on this topic used phylogenomic reconstruction, divergence time estimation, and bioclimatic niche analysis to investigate the evolutionary history and ecological traits of two groups of plants, Carex phalaroides and sect. Bracteosellae. The study found that the biogeographical histories of the two groups are identical but with differences in timing and mechanisms, and that extant lineages in the same regions show notable ecological similarities.  The dataset was likely acquired through a combination of fieldwork, literature reviews, and data curation efforts. The key variables include scientific name, original name, infraspecific information, authority, revised name, revised infraspecific information, revised authority, latitude, longitude, day, month, year, TDWG3 region, TDWG1 name, institution code, collection code, GBIF occurrence ID, main collector, other collectors, collector code, curation change, contributor, and incidences. The dataset was used in the study to investigate the evolutionary history and ecological traits of Carex species.  One limitation identified by the paper is that the biogeographical histories of the two groups are identical but with differences in timing and mechanisms, which may indicate that the dataset is not comprehensive or that there are gaps in the data. Additionally, the study notes that extant lineages in the same regions show notable ecological similarities, suggesting a process of bioclimatic niche convergence, which may be an area for further research.  Overall, this dataset provides valuable information about Carex species distribution and can be used to study their evolutionary history and ecological traits. However, users should be aware of potential limitations and gaps in the data.","{""summary"": ""This is a scientific paper about the comparative biogeography of two groups of plants, Carex phalaroides and sect. Bracteosellae, which are part of the family Cyperaceae. The study uses phylogenomic reconstruction, divergence time estimation, and bioclimatic niche analysis to investigate the evolutionary history and ecological traits of these plant groups.\n\nHere is a summary of the paper in JSON format:\n\n```\n{\n  \""title\"": \""Comparative Biogeography of Two South American Carex (Cyperaceae) Groups\"",\n  \""authors\"": [\""A. M.-A.\"", \""P. J.-M.\""],\n  \""abstract\"": \""This study investigates the comparative biogeography of two groups of plants, Carex phalaroides and sect. Bracteosellae, using phylogenomic reconstruction, divergence time estimation, and bioclimatic niche analysis.\"",\n  \""methods\"": [\""phylogenomic reconstruction\"", \""divergence time estimation\"", \""bioclimatic niche analysis\""],\n  \""results\"": [\n    {\n      \""group\"": \""Carex phalaroides\"",\n      \""divergence_time\"": \""Pleistocene\"",\n      \""ancestral_area\"": \""central Andes\""\n    },\n    {\n      \""group\"": \""sect. Bracteosellae\"",\n      \""divergence_time\"": \""Pleistocene\"",\n      \""ancestral_area\"": \""combination of central and northern Andes\""\n    }\n  ],\n  \""conclusions\"": [\n    \""The biogeographical histories of the two groups are identical, but with differences in timing and mechanisms.\"",\n    \""Extant lineages in the same regions show notable ecological similarities, suggesting a process of bioclimatic niche convergence.\""\n  ],\n  \""funding\"": [\""Comunidad de Madrid\"", \""Spanish Ministerio de Ciencia e Innovaci\u00f3n\""],\n  \""acknowledgements\"": [\""curators and staff at MOR and WS\"", \""UPOS staff\"", \""fieldwork assistants\""]\n}\n```\n\nNote that this is a simplified representation of the paper's content, and some details may have been omitted or condensed for brevity."", ""dataset_name"": ""A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae)"", ""source_length"": 102527, ""full_source_length"": 94877, ""num_context_blocks"": 1}",9,6,8,"{""completeness"": 9, ""conciseness"": 6, ""readability"": 8}",2025-12-04 15:58:07,"This dataset collection comprises three .csv files with records for the genus Carex L. It includes a manually georeferenced dataset based on herbarium specimens and systematic literature (manually_georeferenced_dataset.csv), a raw dataset from GBIF and Tropicos after initial quality control (gbif_t_raw_dataset.csv), and an expert-curated version that corrects taxonomic misidentifications, removes duplicates, and improves georeferencing accuracy (ecd_dataset_v1.0.0.csv). The data may be used for bioclimatic and (macro-)evolutionary analyses that require highly accurate geographic information. We suggest utilizing the flagged occurrences to assess the reliability or native status of any new records added to GBIF after downloading our dataset (see the curation_change column).",A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae),0.79488205909729,0.8177144527435303,0.8061366081237793,0.19101123595505617,0.022556390977443608,0.1048689138576779,0.1048689138576779,0.34,0.6666666666666666,0.2,0.2,0.5,0.25
Vanilla_AutoDDG-160910,leafnp_data,,Vanilla_AutoDDG,"This dataset contains information about various plant species, including their spatial location, temporal data, and different attributes such as leaf nitrogen content, leaf phosphorus content, and bulk density. The dataset also includes information about the plant families, genera, and species, as well as measurements of various ecosystem attributes like temperature, precipitation, and soil pH. Additionally, it contains data on the carbon dioxide levels, total nitrogen content, and other relevant metrics. This dataset can be used for research purposes, such as studying forest ecology, biodiversity, and ecosystem characteristics. It provides a comprehensive understanding of plant species and their environments, making it useful for scientists, researchers, and students in the field of environmental science and ecology.",,8,6,7,"{""completeness"": 8, ""conciseness"": 6, ""readability"": 7}",2025-12-04 16:09:10,"This repository contains the leaf Nmass, Pmass, and N:P data (data/leafnp_tian_et_al.csv), based on Tian et al. (2019), complemented by environmental covariates. The code for complementing the original data by Tian et al. (2019) is contained in this repository and is used for the analysis and modelling for the article Tian et al. (in prep.). Code for the data analysis and modelling is contained in a separate repository leafnp.",leafnp_data,0.8316746950149536,0.8118396997451782,0.8216375112533569,0.23404255319148934,0.01075268817204301,0.1595744680851064,0.1595744680851064,0.15000000000000002,0.3333333333333333,0.2,0.0,0.25,0.0
Augmented_AutoDDG-161245,leafnp_data,research_long_v1-llama70q3,Augmented_AutoDDG,"This dataset contains information about plant species with various attributes such as leaf nitrogen (N) and phosphorus (P) concentrations, stoichiometry, and environmental variables. The data was collected from a large number of plant species and was used to investigate the relationships between leaf N and P concentrations and their stoichiometry. The study found that environmental variables alone explained a significant proportion of the variation in leaf N and P concentrations and their stoichiometry. The dataset includes key variables such as leaf N and P concentrations, stoichiometry, and environmental covariates. It can be used to study plant ecology, biodiversity, and ecosystem attributes.  The semantic profile of the dataset columns provides information about the meaning and context of each variable, including spatial and temporal data, measurement units, and domain-specific types. The dataset is suitable for analysis using various modeling approaches such as linear mixed models, random forest models, and linear regression models. However, it may have limitations in terms of within- and across-species variations.  The research paper that used this dataset provides insights into the relationships between leaf N and P concentrations and their stoichiometry in plant species. The study highlights the importance of considering both within- and across-species variations when studying these traits. The dataset is available on Zenodo, along with code for complementing it with environmental covariates, and source data for published figures are provided with the paper.  Overall, this dataset can be used to advance our understanding of plant ecology and biodiversity, and its semantic profile provides valuable context for analysis and interpretation.","{""summary"": ""This text appears to be a scientific article or research paper, specifically in the field of ecology and environmental science. The article discusses the relationship between leaf nitrogen (N) and phosphorus (P) concentrations and their stoichiometry in plant species.\n\nHere is a summary of the main points:\n\n1. The article presents a large dataset of leaf N and P concentrations from various plant species, which was extended from previous studies.\n2. The authors used recursive feature elimination to select a subset of the most important predictors for leaf N and P concentrations and their stoichiometry.\n3. They compared different modeling approaches, including linear mixed models (LMMs), random forest (RF) models, and linear regression models (LMs), to explain the variation in leaf N and P concentrations and their stoichiometry.\n4. The results showed that environmental variables alone explained a significant proportion of the variation in leaf N and P concentrations and their stoichiometry.\n5. A trait gradient analysis was performed to investigate variations in leaf N and P stoichiometry within vs across species, which revealed that some species exhibited high plasticity in response to changes in community-mean concentrations and stoichiometry.\n\nThe article also includes a section on data availability, stating that the full dataset is published on Zenodo, along with code for complementing it with environmental covariates. Additionally, source data for published figures are provided with the paper, and code for the analysis is also available on Zenodo.\n\nOverall, this article contributes to our understanding of the relationships between leaf N and P concentrations and their stoichiometry in plant species, and highlights the importance of considering both within- and across-species variations when studying these traits."", ""dataset_name"": ""leafnp_data"", ""source_length"": 50857, ""full_source_length"": 50857, ""num_context_blocks"": 1}",9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-04 16:12:45,"This repository contains the leaf Nmass, Pmass, and N:P data (data/leafnp_tian_et_al.csv), based on Tian et al. (2019), complemented by environmental covariates. The code for complementing the original data by Tian et al. (2019) is contained in this repository and is used for the analysis and modelling for the article Tian et al. (in prep.). Code for the data analysis and modelling is contained in a separate repository leafnp.",leafnp_data,0.8167847394943237,0.827311635017395,0.8220145106315613,0.23564954682779451,0.030395136778115502,0.15105740181268884,0.15105740181268884,0.38,0.6666666666666666,0.2,0.4,0.5,0.25
