Test_ID,Dataset_Name,Prompt_Type,Description_Source,Description_Text,Extraction_Strategy,Related_Profile_JSON,Completeness_Score,Conciseness_Score,Readability_Score,Raw_Scores_JSON,Evaluation_Date,Reference_Description,dataset_id,bert_precision,bert_recall,bert_f1,rouge1,rouge2,rougeL,rougeLsum,strict_coverage_overall,strict_coverage_basic_info,strict_coverage_data_characteristics,strict_coverage_provenance,strict_coverage_usage_context,strict_coverage_quality_and_limitations,lenient_coverage_overall,lenient_coverage_basic_info,lenient_coverage_data_characteristics,lenient_coverage_provenance,lenient_coverage_usage_context,lenient_coverage_quality_and_limitations
Vanilla_AutoDDG-213202,The FluPRINT database,,Vanilla_AutoDDG,"This dataset contains information about immune cell analysis or cytokine profiling from various donors. The data includes demographic information such as donor ID, study ID, gender, and race, as well as visit details like visit year, day, type, age, CMV status, EBV status, BMI, vaccine history, and influenza infection history. Additionally, the dataset contains measurements of immune cell subsets, cytokine levels, and other related data. The semantic profile indicates that the data is primarily used for measurement and aggregation purposes, with some categorization and classification involved. This dataset can be used to analyze immune responses, identify patterns in cytokine profiles, and investigate the effects of vaccines and infections on the immune system.",,,9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-09 21:32:02,"The FluPRINT represents fully integrated and normalized immunology measurements from eight clinical studies taken from 740 individuals undergoing influenza vaccination with inactivated or live attenuated seasonal influenza vaccines from 2007 to 2015 at the Stanford Human Immune Monitoring Center. The FluPRINT dataset contains information on more than 3,000 parameters measured using mass cytometry, flow cytometry, phosphorylation-specific cytometry, multiplex cytokine assays, clinical lab tests (hormones and complete blood count), serological profiling and virological tests. In the dataset, vaccine protection is measured using a hemagglutination inhibition (HAI) assay, and following FDA guidelines individuals are marked as high or low responders depending on the HAI antibody titers after vaccination.",The FluPRINT database,0.8472127914428711,0.8190709948539734,0.8329042196273804,0.2909090909090909,0.04587155963302753,0.16363636363636364,0.16363636363636364,0.44333333333333336,1.0,0.2,0.25,0.6666666666666666,0.0,0.33333333333333337,1.0,0.0,0.0,0.6666666666666666,0.0
Vanilla_AutoDDG-213204,CODE-15%: a large scale annotated dataset of 12-lead ECGs,,Vanilla_AutoDDG,"This dataset contains electrocardiogram (ECG) data from various patients, including their age, gender, and unique identifier codes. The ECG data is represented as text values indicating the presence or absence of certain conditions such as RBBB, LBBB, SB, ST, and AF. Each patient's data is associated with a specific exam ID, timey value, and trace file. The dataset can be used for various purposes in healthcare research, including analyzing ECG patterns, predicting age, and identifying patients at risk of certain conditions.",,,8,6,7,"{""completeness"": 8, ""conciseness"": 6, ""readability"": 7}",2025-12-09 21:32:04,"A dataset of 12-lead ECGs with annotations. The dataset contains 345,779 exams from 233,770 patients. It was obtained through stratified sampling from the CODE dataset (15% of the patients). The data was collected by the Telehealth Network of Minas Gerais between 2010 and 2016.This repository contains the file `exams.csv` and the files `exams_part{i}.zip` for i = 0, 1, 2, ... 17.`exams.csv` contains the following columns:- ""exam_id"": ID used for identifying the exam- ""age"": patient age in years at the moment of the exam- ""is_male"": true if the patient is male- ""nn_predicted_age"": age predicted by a neural network (as described in the paper ""Deep neural network estimated electrocardiographic-age as a mortality predictor"")- ""1dAVb"": presence of 1st-degree AV block- ""RBBB"": presence of right bundle branch block- ""LBBB"": presence of left bundle branch block'' - ""SB"": presence of sinus bradycardia'' - ""AF"": presence of atrial fibrillation'' - ""ST"": presence of sinus tachycardia'' - ""patient_id"": ID used for identifying the patient'' - ""normal_ecg"": true if the automatic annotation system labels it as normal'' - ""death"": true if the patient dies in the follow-up period (only filled in the first exam per patient)'' - ""timey"": if the patient dies, this is time to death; otherwise, follow-up time (only in first exam per patient)'' - ""trace_file"": identifies the HDF5 file containing the corresponding ECG trace",CODE-15%: a large scale annotated dataset of 12-lead ECGs,0.8541994690895081,0.7886581420898438,0.8201214671134949,0.29487179487179493,0.038709677419354833,0.14743589743589747,0.14743589743589747,0.35333333333333333,0.5,0.4,0.0,0.6666666666666666,0.0,0.35333333333333333,0.5,0.4,0.0,0.6666666666666666,0.0
Vanilla_AutoDDG-213206,T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,,Vanilla_AutoDDG,"This dataset contains temporal data related to Type 1 Diabetes, with a focus on measurement values and time offsets. The dataset includes three columns: date, sgv, and utcOffset. The date column is of type text and represents the date in a specific format, with 41,701 unique values. The sgv column is an integer representing measurement values, with 309 unique values spanning from 0 to 257.0. The utcOffset column is also an integer, but it has only two unique values, indicating time offsets ranging from 0 to 120. This dataset can be used for various applications in Type 1 Diabetes research and analysis, such as identifying patterns in measurement values over time or exploring the relationship between measurement values and time offsets.",,,8,9,9,"{""completeness"": 8, ""conciseness"": 9, ""readability"": 9}",2025-12-09 21:32:06,"The data are recorded in a single file entitled glucose_data.csv. This file establishes a Comma Separated Values (CSV) format. The following characteristics can be found in each row of the dataset: date: establishes the moment at which the glucose level was measured. The field is formatted as follows: ""YYYYY-MM-DD HH:MM:SS.ssss"" (UTC time zone). sgv: glucose levels measured in mg/dL. utcOffset: offset in minutes from the time zone where data were collected (Madrid GMT+1 and GMT+2). The dataset contains a total of 41702 samples with an average of 185 samples per day. A summary of the samples per day can be found in the attached image.",T1GDUJA: Glucose dataset of a patient with type 1 diabetes mellitus,0.8437622785568237,0.8247187733650208,0.8341318368911743,0.3025210084033613,0.033898305084745756,0.15966386554621848,0.15966386554621848,0.3933333333333333,1.0,0.2,0.0,0.6666666666666666,0.0,0.32666666666666666,1.0,0.2,0.0,0.3333333333333333,0.0
Vanilla_AutoDDG-213210,A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae),,Vanilla_AutoDDG,"This dataset contains information about the distribution of Carex species, including their scientific names, original names, infraspecific information, authorities, revised names, and revised infraspecific information. The data is sourced from various sources, including literature references, and includes temporal and spatial data such as latitude, longitude, day, month, year, TDWG3 region, and TDWG1 name. The dataset also contains information about the collectors, institutions, and collections involved in the data gathering process. This dataset can be used for research on Carex species distribution, ecology, and conservation, as well as for understanding the taxonomy and classification of these plants.  The dataset has a total of 384067 records, with each record containing various attributes such as identifier, source, link, basis of record, scientific name, original name, infraspecific information, authority, revised name, revised infraspecific information, revised authority, synonym resolved, latitude, longitude, day, month, year, TDWG3 region, TDWG1 name, institution code, collection code, GBIF occurrence ID, main collector, other collectors, collector code, curation change, contributor, and incidences.  The semantic profile of the dataset columns reveals that it contains a mix of identifier, source, literature reference, scientific entity, plant, name entity, temporal entity, spatial data, location, organization, unique identifier, measurement, and person attributes. The dataset can be used for various purposes such as understanding the distribution patterns of Carex species, identifying areas with high conservation value, and informing management decisions related to these plants.  The dataset's coverage spans from 0 to 377764.0 for record ID, 0 to 3043013609.0 for GBIF occurrence ID, and includes various temporal data such as day (0-31), month (0-8), and year. The spatial data includes latitude (0-69.7339) and longitude (-131.457778 to 174.1583).",,,9,6,8,"{""completeness"": 9, ""conciseness"": 6, ""readability"": 8}",2025-12-09 21:32:10,"This dataset collection comprises three .csv files with records for the genus Carex L. It includes a manually georeferenced dataset based on herbarium specimens and systematic literature (manually_georeferenced_dataset.csv), a raw dataset from GBIF and Tropicos after initial quality control (gbif_t_raw_dataset.csv), and an expert-curated version that corrects taxonomic misidentifications, removes duplicates, and improves georeferencing accuracy (ecd_dataset_v1.0.0.csv). The data may be used for bioclimatic and (macro-)evolutionary analyses that require highly accurate geographic information. We suggest utilizing the flagged occurrences to assess the reliability or native status of any new records added to GBIF after downloading our dataset (see the curation_change column).",A comprehensive database of expert-curated occurrences for the genus Carex L. (Cyperaceae),0.7871028780937195,0.8066333532333374,0.7967484593391418,0.24489795918367346,0.02564102564102564,0.1377551020408163,0.1377551020408163,0.4866666666666667,1.0,0.4,0.5,0.3333333333333333,0.0,0.44333333333333336,1.0,0.2,0.25,0.6666666666666666,0.0
Vanilla_AutoDDG-213212,TetrapodTraits Database,,Vanilla_AutoDDG,"This dataset contains information about various species of snakes and birds, including their taxonomic classifications, habitats, and geographic distributions. The data includes measurements such as body length, weight, and elevation, as well as temporal and spatial data related to climate, precipitation, and human population density. The semantic profile indicates that the data is primarily used for classification, measurement, and aggregation purposes, with some columns representing entities, locations, or measures. This dataset can be used for research in avian taxonomy, conservation biology, and ecology, particularly in the context of Neotropical bird species and their habitats.",,,9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-09 21:32:12,"TetrapodTraits_1.0.0.csv – the complete TetrapodTraits database, with missing data entries in natural history traits (body length, body mass, activity time, and microhabitat) replaced by the average across the 10K imputed values obtained through phylogenetic multiple imputation. Please note that imputed microhabitat (attribute fields: Fos, Ter, Aqu, Arb, Aer) and imputed activity time (attribute fields: Diu, Noc) are continuous variables within the 0-1 range interval. At the user's discretion, the types of microhabitat and activity time can be transformed into binary variables using a predefined threshold (e.g., 0.50), although we recommend utilizing the original imputed values.",TetrapodTraits Database,0.8347472548484802,0.7980854511260986,0.8160046935081482,0.17346938775510204,0.02061855670103093,0.13265306122448978,0.13265306122448978,0.3933333333333333,1.0,0.2,0.0,0.6666666666666666,0.0,0.33333333333333337,1.0,0.0,0.0,0.6666666666666666,0.0
Vanilla_AutoDDG-213214,leafnp_data,,Vanilla_AutoDDG,"This dataset contains plant species attributes with various measurements and classifications. The dataset includes spatial data such as longitude (lon) and latitude (lat), which represent the location of the plants. It also includes temporal data like year start, year end, month start, and month end, indicating the time period for each measurement. Other attributes include leaf nitrogen (leafN), leaf phosphorus (leafP), and plant families (Family_New). The dataset can be used to analyze forest ecology, biodiversity, and ecosystem attributes, providing insights into plant species characteristics and their environments.  This dataset is suitable for researchers and scientists studying plant biology, ecology, and environmental science. It can be used to investigate the relationships between plant species and their habitats, as well as to develop models predicting plant growth and development based on environmental factors.",,,8,9,9,"{""completeness"": 8, ""conciseness"": 9, ""readability"": 9}",2025-12-09 21:32:14,"This repository contains the leaf Nmass, Pmass, and N:P data (data/leafnp_tian_et_al.csv), based on Tian et al. (2019), complemented by environmental covariates. The code for complementing the original data by Tian et al. (2019) is contained in this repository and is used for the analysis and modelling for the article Tian et al. (in prep.). Code for the data analysis and modelling is contained in a separate repository leafnp.",leafnp_data,0.8268612623214722,0.8251082897186279,0.8259838223457336,0.23300970873786406,0.00980392156862745,0.14563106796116504,0.14563106796116504,0.38666666666666666,1.0,0.4,0.0,0.3333333333333333,0.0,0.3933333333333333,1.0,0.2,0.0,0.6666666666666666,0.0
Vanilla_AutoDDG-213216,Summary-level data from meta-analysis of fat distribution phenotypes in UK Biobank and GIANT,,Vanilla_AutoDDG,"This dataset contains genetic variant or SNP (Single Nucleotide Polymorphism) data with corresponding information. The dataset includes columns such as CHR (chromosome), POS (position), SNP (single nucleotide polymorphism), Tested_Allele and Other_Allele, which represent the genetic entities involved in each variant. Additionally, it includes Freq_Tested_Allele, BETA, SE, P, N, and INFO, which provide frequency, effect size, standard error, p-value, sample size, and information about each variant. The dataset can be used for various applications in human genetics research, such as identifying genetic associations with diseases or traits, understanding the functional impact of genetic variants, and exploring population genetics patterns.",,,9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-09 21:32:16,"CHR: Chromosome; POS: Chromosomal position of the SNP, build hg19; SNP: the dbSNP151 identifier of the SNP, followed by the first allele and second allele of the SNP, delimited with a colon. A small number of SNPs (<9,000) from the GIANT data had no dbSNP151 identifier, and are left as just an rsID. Note that these SNPs are also missing chromosome and position information (not provided in the GIANT data). Tested_Allele: the allele for which all association statistics are reported; Other_Allele: the other allele at the SNP; Freq_Tested_Allele: frequency of the tested allele; BETA: the effect size of the tested allele; SE: the standard error of the beta; P: the p-value of the SNP, as reported from the inverse variance-weighted fixed effects meta-analysis; N: the total sample size for this SNP; INFO: the imputation quality (info score) of the SNP, as reported by UK Biobank. A number between 0 and 1 indicating quality of imputation (0, poor quality; 1, high quality or genotyped). Note that the summary-level GIANT data does not report info score, so SNPs appearing only in the GIANT analysis do not have info scores.",Summary-level data from meta-analysis of fat distribution phenotypes in UK Biobank and GIANT,0.8508732318878174,0.8198298215866089,0.8350631594657898,0.3344481605351171,0.08080808080808081,0.1806020066889632,0.1806020066889632,0.3933333333333333,1.0,0.2,0.0,0.6666666666666666,0.0,0.33333333333333337,1.0,0.0,0.0,0.6666666666666666,0.0
Vanilla_AutoDDG-213219,Coronavirus disease (COVID-19) case data - South Africa,,Vanilla_AutoDDG,"This dataset contains COVID-19 case metrics for South Africa, with each row representing a specific date. The data includes various metrics such as confirmed cases, deaths, and other related statistics. There are 864 unique dates in the dataset, with coverage spanning from April 2020 to June 2022. The dataset has a total of 13 columns, including EC (confirmed cases), FS (financial data), GP (general population), KZN (KwaZulu-Natal province), LP (lab-processed tests), MP (measurement data), NC (national data), NW (North West province), WC (Western Cape province), UNKNOWN (unknown or missing values), total (total cases), and source (data source). The dataset can be used to analyze the spread of COVID-19 in South Africa, track trends and patterns, and inform public health policies.",,,9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-09 21:32:19,"COVID-19 Data for South Africa created, maintained, and hosted by the DSFSI research group at the University of Pretoria; Disclaimer: We work to keep the data as accurate as possible, collating COVID-19 reporting data from NICD and the South Africa DoH and updating only after official reports or statements; other data is kept as accurate as possible, and errors can be reported to us.",Coronavirus disease (COVID-19) case data - South Africa,0.8039402961730957,0.8399796485900879,0.8215649724006653,0.3157894736842105,0.07446808510638298,0.17894736842105263,0.17894736842105263,0.5033333333333333,1.0,0.4,0.25,0.6666666666666666,0.0,0.43666666666666665,1.0,0.4,0.25,0.3333333333333333,0.0
Vanilla_AutoDDG-213221,European database of processing factors for pesticides residues in food,,Vanilla_AutoDDG,"This dataset contains information on pesticide residues found in various food products. It includes data on substances, chemicals, codes, products, commodities, and more. The dataset has 299 unique values for the ""ParamCode Active Substance"" field and 300 unique values for the ""Active Substance"" field. The semantic profile indicates that the dataset represents a wide range of concepts, including substances, chemicals, products, and temporal entities. This dataset can be used to analyze pesticide residues in food products, identify trends and patterns, and inform regulatory decisions related to food safety and pesticides.",,,8,6,9,"{""completeness"": 8, ""conciseness"": 6, ""readability"": 9}",2025-12-09 21:32:21,"EFSA is regularly evaluating pesticide occurrence data in food generated under the official monitoring programs of Member States with respect to consumer exposure and risk assessment; most of these data refer to raw commodities (RAC) because maximum residue levels established under European legislation reflect pesticide residues only in the RAC; however, food processing operations can have decisive effects on pesticide residue levels and therefore consumer exposure, and this database has been developed to compile validated processing factors for pesticide residues in food in line with the EFSA food classification and description system (FoodEx2).",European database of processing factors for pesticides residues in food,0.8437649607658386,0.8354165554046631,0.8395699262619019,0.30601092896174864,0.05524861878453039,0.1748633879781421,0.1748633879781421,0.16666666666666669,0.5,0.0,0.0,0.3333333333333333,0.0,0.33333333333333337,1.0,0.0,0.0,0.6666666666666666,0.0
Vanilla_AutoDDG-213222,The Global Carbon Project's fossil CO2 emissions dataset,,Vanilla_AutoDDG,"This dataset contains carbon emissions data from various countries around the world. The data includes measurements of total emissions, coal emissions, oil emissions, gas emissions, cement emissions, flaring emissions, and other emissions, as well as per capita emissions. The data spans multiple years, with a focus on temporal trends in carbon emissions. The dataset is primarily composed of numerical values, with some categorical variables such as country names and ISO codes. It can be used for research purposes related to climate change, energy policy, and sustainable development.  Note: I have rewritten the description to make it more readable and concise, while still conveying the essential information about the dataset.",,,9,8,9,"{""completeness"": 9, ""conciseness"": 8, ""readability"": 9}",2025-12-09 21:32:22,The Global Carbon Project (GCP) has published global and national fossil CO₂ emissions estimates since 2001—evolving from simple republications to refined methodologies—providing the 2021 fossil CO₂ dataset in absolute and per-capita forms with JSON metadata and a developing file documenting the source of each data point.,The Global Carbon Project's fossil CO2 emissions dataset,0.8369206786155701,0.820411741733551,0.8285840153694153,0.24050632911392406,0.01282051282051282,0.13924050632911394,0.13924050632911394,0.44666666666666666,1.0,0.6,0.0,0.3333333333333333,0.0,0.38666666666666666,1.0,0.4,0.0,0.3333333333333333,0.0
